date,level
2015-01-01,138491
2015-02-01,139324
2015-03-01,140080
2015-04-01,141264
2015-05-01,142205
2015-06-01,142681
2015-07-01,141731
2015-08-01,141921
2015-09-01,142478
2015-10-01,143627
2015-11-01,144048
2015-12-01,144045
2016-01-01,141073
2016-02-01,141900
2016-03-01,142797
2016-04-01,143892
2016-05-01,144541
2016-06-01,145205
2016-07-01,144232
2016-08-01,144484
2016-09-01,145149
2016-10-01,146031
2016-11-01,146465
2016-12-01,146252
2017-01-01,143374
2017-02-01,144405
2017-03-01,145061
2017-04-01,146085
2017-05-01,146924
2017-06-01,147565
2017-07-01,146464
2017-08-01,146781
2017-09-01,147169
2017-10-01,148182
2017-11-01,148758
2017-12-01,148509
2018-01-01,145413
2018-02-01,146648
2018-03-01,147353
2018-04-01,148329
2018-05-01,149264
2018-06-01,149930
2018-07-01,148767
2018-08-01,149236
2018-09-01,149546
2018-10-01,150554
2018-11-01,151032
2018-12-01,150831
2019-01-01,147879
2019-02-01,148684
2019-03-01,149360
2019-04-01,150422
2019-05-01,151096
2019-06-01,151713
2019-07-01,150658
2019-08-01,151094
2019-09-01,151509
2019-10-01,152501
2019-11-01,153094
2019-12-01,152846
2020-01-01,150057
2020-02-01,150966
2020-03-01,149952
2020-04-01,130252
2020-05-01,133421
2020-06-01,138507
2020-07-01,139105
2020-08-01,140728
2020-09-01,141957
2020-10-01,143565
2020-11-01,144117
2020-12-01,143604
2021-01-01,140975
2021-02-01,142129
2021-03-01,143308
2021-04-01,144403
2021-05-01,145391
2021-06-01,146627
2021-07-01,146619
2021-08-01,147159
2021-09-01,147918
2021-10-01,149606
2021-11-01,150543
2021-12-01,150740
2022-01-01,147932
2022-02-01,149606
2022-03-01,150413
2022-04-01,151434
2022-05-01,152264
2022-06-01,153176
2022-07-01,152813
2022-08-01,153209
2022-09-01,153730
2022-10-01,154936
2022-11-01,155519
2022-12-01,155210
2023-01-01,152689
2023-02-01,153818
2023-03-01,154253
2023-04-01,155155
2023-05-01,156038
2023-06-01,156701
2023-07-01,155779
2023-08-01,156107
2023-09-01,156563
2023-10-01,157531
2023-11-01,157950
2023-12-01,157828
2024-01-01,154942
2024-02-01,156007
2024-03-01,156612
2024-04-01,157438
2024-05-01,158256
2024-06-01,158722
2024-07-01,157771
2024-08-01,158070
2024-09-01,158527
2024-10-01,159352
2024-11-01,159882
2024-12-01,159923
2025-01-01,157095
2025-02-01,157944
2025-03-01,158402
2025-04-01,159227
2025-05-01,159930
2025-06-01,160256
2025-07-01,159219
