date,level,revision
2015-02-01,139324,833
2015-03-01,140080,756
2015-04-01,141264,1184
2015-05-01,142205,941
2015-06-01,142681,476
2015-07-01,141731,-950
2015-08-01,141921,190
2015-09-01,142478,557
2015-10-01,143627,1149
2015-11-01,144048,421
2015-12-01,144045,-3
2016-01-01,141073,-2972
2016-02-01,141900,827
2016-03-01,142797,897
2016-04-01,143892,1095
2016-05-01,144541,649
2016-06-01,145205,664
2016-07-01,144232,-973
2016-08-01,144484,252
2016-09-01,145149,665
2016-10-01,146031,882
2016-11-01,146465,434
2016-12-01,146252,-213
2017-01-01,143374,-2878
2017-02-01,144405,1031
2017-03-01,145061,656
2017-04-01,146085,1024
2017-05-01,146924,839
2017-06-01,147565,641
2017-07-01,146464,-1101
2017-08-01,146781,317
2017-09-01,147169,388
2017-10-01,148182,1013
2017-11-01,148758,576
2017-12-01,148509,-249
2018-01-01,145413,-3096
2018-02-01,146648,1235
2018-03-01,147353,705
2018-04-01,148329,976
2018-05-01,149264,935
2018-06-01,149930,666
2018-07-01,148767,-1163
2018-08-01,149236,469
2018-09-01,149546,310
2018-10-01,150554,1008
2018-11-01,151032,478
2018-12-01,150831,-201
2019-01-01,147879,-2952
2019-02-01,148684,805
2019-03-01,149360,676
2019-04-01,150422,1062
2019-05-01,151096,674
2019-06-01,151713,617
2019-07-01,150658,-1055
2019-08-01,151094,436
2019-09-01,151509,415
2019-10-01,152501,992
2019-11-01,153094,593
2019-12-01,152846,-248
2020-01-01,150057,-2789
2020-02-01,150966,909
2020-03-01,149952,-1014
2020-04-01,130252,-19700
2020-05-01,133421,3169
2020-06-01,138507,5086
2020-07-01,139105,598
2020-08-01,140728,1623
2020-09-01,141957,1229
2020-10-01,143565,1608
2020-11-01,144117,552
2020-12-01,143604,-513
2021-01-01,140975,-2629
2021-02-01,142129,1154
2021-03-01,143308,1179
2021-04-01,144403,1095
2021-05-01,145391,988
2021-06-01,146627,1236
2021-07-01,146619,-8
2021-08-01,147159,540
2021-09-01,147918,759
2021-10-01,149606,1688
2021-11-01,150543,937
2021-12-01,150740,197
2022-01-01,147932,-2808
2022-02-01,149606,1674
2022-03-01,150413,807
2022-04-01,151434,1021
2022-05-01,152264,830
2022-06-01,153176,912
2022-07-01,152813,-363
2022-08-01,153209,396
2022-09-01,153730,521
2022-10-01,154936,1206
2022-11-01,155519,583
2022-12-01,155210,-309
2023-01-01,152689,-2521
2023-02-01,153818,1129
2023-03-01,154253,435
2023-04-01,155155,902
2023-05-01,156038,883
2023-06-01,156701,663
2023-07-01,155779,-922
2023-08-01,156107,328
2023-09-01,156563,456
2023-10-01,157531,968
2023-11-01,157950,419
2023-12-01,157828,-122
2024-01-01,154942,-2886
2024-02-01,156007,1065
2024-03-01,156612,605
2024-04-01,157438,826
2024-05-01,158256,818
2024-06-01,158722,466
2024-07-01,157771,-951
2024-08-01,158070,299
2024-09-01,158527,457
2024-10-01,159352,825
2024-11-01,159882,530
2024-12-01,159923,41
2025-01-01,157095,-2828
2025-02-01,157944,849
2025-03-01,158402,458
2025-04-01,159227,825
2025-05-01,159930,703
2025-06-01,160256,326
2025-07-01,159219,-1037
